id,sueldo,casado,coche,hijos,casa,sindicato,faltas_annio,antiguedad,sexo
1134,48788.74,Sí,No,0,Alquila,No,2,8.4,M
1135,37644.61,No,Sí,1,Propia,No,2,7.7,M
1136,57399.48,Sí,No,1,Propia,Sí,1,10.5,F
1137,38733.97,Sí,No,1,Alquila,No,4,11.0,F
1138,42423.51,Sí,No,0,Propia,No,1,15.6,F
1139,51508.14,Sí,Sí,2,Propia,No,1,12.9,F
1140,35153.09,No,No,1,Propia,No,1,8.3,M
1141,46819.68,Sí,Sí,0,Propia,No,0,7.3,F
1142,55457.14,Sí,Sí,0,Propia,No,0,11.5,F
1143,32140.13,No,Sí,1,Alquila,Sí,1,6.0,F
1144,46477.07,No,No,2,Alquila,No,1,15.5,M
1145,47079.06,Sí,Sí,2,Alquila,Sí,0,13.5,F
1146,51254.58,No,Sí,2,Propia,Sí,2,8.6,F
1147,35104.39,Sí,No,0,Alquila,Sí,2,4.9,M
1148,34436.35,No,No,1,Propia,No,0,14.1,M
1149,49175.53,No,Sí,1,Propia,No,0,9.7,F
1150,47375.88,No,Sí,0,Propia,No,1,13.7,M
1151,47003.94,Sí,No,0,Propia,Sí,3,5.2,M
1152,47771.59,Sí,Sí,2,Propia,No,1,8.2,M
1153,39559.8,Sí,Sí,0,Propia,No,1,10.0,F
1154,46858.03,Sí,Sí,1,Propia,No,1,10.1,F
1155,47344.58,Sí,No,0,Propia,No,3,8.6,F
1156,39285.19,No,No,0,Propia,Sí,1,11.9,M
1157,59926.2,Sí,No,0,Propia,No,0,6.8,F
1158,48790.66,Sí,No,3,Alquila,No,0,9.6,F
1159,35469.57,No,Sí,2,Alquila,Sí,0,10.4,F
1160,50252.43,Sí,Sí,3,Propia,No,0,11.5,F
1161,37202.55,No,Sí,1,Propia,No,0,12.1,M
1162,51296.68,Sí,Sí,0,Propia,No,0,6.6,F
1163,54268.76,Sí,Sí,1,Propia,Sí,0,5.4,M
1164,38434.54,Sí,No,1,Alquila,Sí,0,13.8,F
1165,52707.01,Sí,No,2,Propia,Sí,2,11.0,M
1166,48302.25,No,No,0,Propia,No,1,7.8,M
1167,51576.48,Sí,Sí,1,Propia,No,2,14.7,M
1168,60174.34,No,No,0,Propia,Sí,1,10.3,F
1169,43036.9,Sí,No,0,Propia,No,2,13.5,M
1170,38970.11,Sí,Sí,2,Alquila,No,0,10.2,F
1171,37883.88,No,No,1,Propia,Sí,1,16.2,M
1172,38473.52,Sí,Sí,0,Propia,No,3,15.3,M
1173,44383.19,No,Sí,0,Propia,No,0,9.3,F
1174,47729.22,No,Sí,1,Propia,Sí,0,12.9,M
1175,47213.53,No,Sí,2,Alquila,Sí,0,11.9,M
1176,51617.47,No,Sí,2,Alquila,No,0,14.1,F
1177,45104.02,Sí,No,3,Alquila,No,1,7.1,M
1178,56628.27,Sí,No,2,Propia,No,0,12.1,M
1179,42882.75,Sí,No,0,Alquila,No,4,13.2,M
1180,66761.35,No,No,1,Alquila,Sí,1,4.7,F
1181,50005.34,No,Sí,1,Propia,Sí,1,6.5,F
1182,38142.74,Sí,No,0,Alquila,No,1,3.9,F
1183,36432.86,No,Sí,2,Propia,Sí,0,9.2,F
1184,48859.78,Sí,Sí,0,Propia,Sí,1,12.2,M
1185,43212.3,No,Sí,3,Propia,No,1,14.5,M
1186,50712.0,Sí,Sí,1,Alquila,No,1,10.2,F
1187,48785.9,No,Sí,1,Alquila,No,0,14.9,M
1188,44417.37,No,Sí,1,Propia,No,5,5.9,M
1189,38225.65,Sí,Sí,2,Propia,Sí,0,4.9,M
1190,32881.22,Sí,No,1,Propia,No,1,9.8,M
1191,41427.88,Sí,Sí,1,Alquila,Sí,0,11.2,F
1192,51851.19,Sí,Sí,0,Propia,No,1,9.9,M
1193,46712.75,Sí,Sí,1,Propia,No,0,3.8,F
1194,35034.09,No,No,0,Propia,No,0,9.7,M
1195,46385.45,No,Sí,2,Propia,No,1,6.1,F
1196,48082.54,No,Sí,1,Propia,No,2,12.0,M
1197,37929.14,Sí,Sí,1,Propia,Sí,2,11.1,M
1198,46229.8,No,Sí,0,Alquila,No,2,7.2,F
1199,45465.67,No,Sí,0,Propia,No,4,8.5,F
1200,35856.24,Sí,Sí,2,Alquila,Sí,3,6.8,M
1201,26431.15,No,Sí,0,Propia,No,7,3.9,M
1202,27243.14,No,Sí,0,Propia,No,6,5.4,M
1203,29332.2,Sí,Sí,0,Alquila,Sí,11,2.5,M
1204,29215.21,Sí,No,3,Alquila,No,7,4.8,M
1205,19489.32,Sí,Sí,2,Alquila,No,5,3.2,M
1206,21248.7,Sí,Sí,0,Propia,No,7,2.8,M
1207,27060.14,No,Sí,0,Propia,No,9,3.8,M
1208,27055.14,No,No,0,Alquila,No,8,2.4,F
1209,27060.19,No,Sí,2,Propia,No,10,3.2,F
1210,40410.93,Sí,Sí,1,Propia,No,9,2.2,F
1211,27283.56,Sí,No,0,Alquila,Sí,9,6.9,M
1212,29542.26,No,Sí,0,Alquila,No,5,4.1,M
1213,28816.01,No,Sí,0,Propia,No,5,3.0,F
1214,27605.57,Sí,Sí,1,Propia,Sí,8,4.3,M
1215,23738.92,No,No,2,Propia,No,8,3.8,M
1216,28035.88,No,Sí,0,Alquila,No,3,3.7,F
1217,21908.7,Sí,No,0,Alquila,Sí,4,4.9,F
1218,24052.73,Sí,No,0,Propia,No,8,5.1,F
1219,23058.55,No,Sí,3,Alquila,No,9,3.2,M
1220,25327.5,Sí,Sí,0,Alquila,No,8,3.1,M
1221,34258.63,Sí,Sí,2,Alquila,Sí,8,3.6,F
1222,17530.94,Sí,Sí,1,Propia,Sí,9,0.5,M
1223,27745.04,Sí,Sí,0,Propia,No,7,1.7,F
1224,18549.14,No,No,0,Propia,No,11,6.1,F
1225,23112.27,No,No,0,Propia,Sí,10,6.5,F
1226,29355.8,Sí,No,1,Alquila,No,10,3.6,M
1227,25257.12,No,Sí,2,Propia,Sí,9,4.9,M
1228,20689.02,No,No,1,Alquila,No,6,4.5,F
1229,22138.79,No,No,1,Propia,No,5,8.6,F
1230,27718.39,Sí,No,0,Propia,No,9,5.7,F
1231,22078.53,Sí,Sí,3,Propia,Sí,6,3.8,M
1232,25865.83,No,No,2,Alquila,No,5,2.6,M
1233,25182.29,No,Sí,0,Propia,Sí,8,1.6,F
1234,22393.6,Sí,Sí,3,Alquila,No,9,4.3,F
1235,33575.78,Sí,Sí,1,Propia,No,12,2.9,F
1236,27535.68,Sí,No,1,Propia,Sí,8,1.9,M
1237,16899.43,No,No,2,Propia,Sí,14,3.0,F
1238,25745.82,No,Sí,2,Propia,No,3,2.4,F
1239,22352.85,Sí,Sí,1,Propia,No,6,6.5,F
1240,28409.73,Sí,Sí,0,Alquila,No,8,5.3,M
1241,21829.92,No,Sí,0,Propia,Sí,10,4.0,M
1242,24541.05,No,Sí,3,Alquila,No,4,6.2,F
1243,27019.95,Sí,Sí,0,Propia,No,6,4.1,M
1244,28463.02,No,No,0,Propia,No,9,2.7,M
1245,20198.81,No,Sí,1,Propia,No,7,6.3,F
1246,23662.0,Sí,Sí,1,Propia,No,11,4.8,M
1247,23100.22,No,Sí,1,Propia,No,11,2.4,F
1248,22386.68,Sí,No,3,Alquila,No,8,3.7,M
1249,32061.82,No,No,0,Propia,No,10,2.7,F
1250,26619.93,No,No,0,Alquila,No,8,1.9,F
